"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"53",2019-05-04,"All Inclusive","Wezyr","Costa Brava","Malgrat De Mar",6.9,"Ibersol Sorra d'Or",3,"182393",457,1676,2018-12-23
"54",2019-04-15,"œniadania i obiadokolacje","Itaka","Wyc. objazdowe",NA,6.8,"W Rytmie Flamenco",NA,"442007",NA,2759,2018-12-23
"55",2019-05-23,"œniadania","Neckermann","Gran Canaria","Maspalomas",9.4,"Ifa Faro",4.5,"500119",NA,4287,2018-12-23
"56",2019-04-23,"All Inclusive","Exim Tours","Costa Brava",NA,NA,"Santa Susanna Resort",3,"510330",NA,1529,2018-12-23
"57",2019-05-19,"All Inclusive","Exim Tours","Majorka",NA,8.3,"Beverly Playa",3.5,"514968",604,2079,2018-12-23
"58",2019-05-20,"All Inclusive","Rainbow","Andaluzja - Costa Almeria","Roquetas de Mar",8.5,"Mediterraneo Park (Roquetas de Mar)",4.5,"204121",108,3399,2018-12-23
"59",2019-03-17,"œniadania","Exim Tours","Teneryfa",NA,6.1,"San Telmo (Puerto de la Cruz)",3,"491884",69,1599,2018-12-23
"60",2019-03-18,"œniadania","Itaka & Gala","Costa del Sol","La Vinuela",8.7,"La Vinuela",4.5,"442237",NA,2419,2018-12-23
"61",2019-03-30,"All Inclusive","Itaka","Lanzarote","Puerto del Carmen",8.8,"BelleVue Aquarius",3,"442074",198,2669,2018-12-23
"62",2019-05-04,"œniadania","Exim Tours","Costa Blanca","Benidorm",9.6,"Poseidon Resort (ex. Complejo)",3.5,"516941",NA,1929,2018-12-23
"63",2019-05-13,"All Inclusive","Rainbow","Andaluzja - Costa Almeria","Roquetas de Mar",7.8,"Evenia Zoraida Garden",4.5,"202374",24,2664,2018-12-23
"64",2019-05-11,"œniadania i obiadokolacje","Rainbow","Costa Brava","Calella",8.1,"Miami",3,"463670",116,1899,2018-12-23
"65",2019-05-06,"œniadania i obiadokolacje","Rainbow","Wyc. objazdowe",NA,NA,"Dooko³a Hiszpanii",3,"181592",NA,3099,2018-12-23
"66",2019-05-16,"All Inclusive","Itaka","Teneryfa","Puerto de la Cruz",NA,"Blue Sea Costa Jardin",4,"475920",NA,2529,2018-12-23
"67",2019-05-21,"bez wy¿ywienia","Exim Tours","Costa Brava","Calella",10,"H Top Amaika",4,"510435",35,1289,2018-12-23
"68",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Costa del Sol","Cala de Mijas",7.6,"VIK Gran Costa del Sol",4,"498327",116,1549,2018-12-23
"69",2019-03-09,"œniadania","Exim Tours","Gran Canaria",NA,8,"Corallium Dunamar",4,"499531",NA,3499,2018-12-23
"70",2019-03-09,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,7.9,"Laguna Park II",2,"499413",24,1979,2018-12-23
"71",2019-05-05,"All Inclusive","Rainbow","Majorka","El Arenal",7.9,"Pinero Bahia De Palma",3,"461265",214,1999,2018-12-23
"72",2019-05-17,"All Inclusive","Rainbow","Gran Canaria","Maspalomas",6.8,"Turbo Club",3,"410349",59,2300,2018-12-23
"73",2019-04-04,"bez wy¿ywienia","Exim Tours","Costa Brava","Malgrat del Mar",6.4,"Planamar (Malgrat de Mar)",3,"510416",106,1049,2018-12-23
"74",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,NA,"La Carabela (Puerto de la Cruz)",3,"518592",NA,1389,2018-12-23
"75",2019-05-12,"All Inclusive","Rainbow","Teneryfa","Playa Paraiso",8.8,"Bahia Principe Tenerife",5,"246168",68,4100,2018-12-23
"76",2019-05-18,"bez wy¿ywienia","Wezyr","Costa Brava","Calella",7.6,"H Top Olympic",3,"281233",49,1560,2018-12-23
"77",2019-05-11,"All Inclusive","Rainbow","Costa Brava","Malgrat de Mar",8,"Maripins",4,"315386",183,2449,2018-12-23
"78",2019-03-16,"bez wy¿ywienia","Exim Tours","Fuerteventura","Caleta de Fuste",8.2,"Broncemar Beach",3,"498203",223,1499,2018-12-23
"79",2019-03-09,"œniadania","Exim Tours","Teneryfa",NA,NA,"Panoramica Garden",3,"491886",NA,1569,2018-12-23
"80",2019-03-16,"œniadania i obiadokolacje","Exim Tours","Fuerteventura","Costa Calma",9.2,"H10 Tindaya",4,"512999",29,2759,2018-12-23
"81",2019-04-23,"All Inclusive","Itaka","Gran Canaria","Maspalomas",7.2,"Dunas Mirador Maspalomas",3.5,"442166",148,2689,2018-12-23
"82",2019-03-11,"œniadania i obiadokolacje","Itaka","Andaluzja","Sierra Nevada",7.6,"Melia Sierra Nevada",4,"457464",NA,3199,2018-12-23
"83",2019-03-18,"All Inclusive","Itaka","Fuerteventura","Caleta de Fuste",8.4,"Barcelo Castillo Beach Resort",4,"442138",105,3349,2018-12-23
"84",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Caleta de Fuste",8.8,"Castillo San Jorge",3.5,"202006",31,2163,2018-12-23
"85",2019-03-18,"All Inclusive","Itaka","Fuerteventura","Costa Calma",8.1,"SBH Taro Beach",4,"442041",226,2899,2018-12-23
"86",2019-05-16,"All Inclusive soft","Itaka","Teneryfa","Puerto de la Cruz",8.3,"Be Live Experience Orotava",4,"441957",201,2659,2018-12-23
"87",2019-05-18,"œniadania i obiadokolacje","Exim Tours","Teneryfa",NA,8.9,"The Be Live Adults Only Tenerife (ex Be Live Exper",4,"518576",256,1949,2018-12-23
"88",2019-03-21,"All Inclusive","Atur","Costa Brava","Lloret de Mar",7.8,"Samba",3,"288708",2180,1618,2018-12-23
"89",2019-05-11,"œniadania","Exim Tours","Costa del Sol","Torremolinos",8,"Blue Sea Gran Cervantes",4,"509844",148,1529,2018-12-23
"90",2019-05-18,"bez wy¿ywienia","Exim Tours","Teneryfa",NA,6.9,"Annapurna Tenerife (ex Alborada Beach Club)",3,"522515",400,1719,2018-12-23
"91",2019-05-11,"bez wy¿ywienia","Exim Tours","Costa del Sol","Benalmadena Coast",7.8,"Medplaya Bali (Benalmadena)",3,"509952",86,1529,2018-12-23
"92",2019-05-11,"œniadania","Exim Tours","Costa del Sol","Marbella",4.3,"Senator Marbella",4,"510004",NA,1979,2018-12-23
